Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Conjunto Comercial/Sala;Santa Fe;0;1;0;60;8750.0;4102.0;959.0
Conjunto Comercial/Sala;Centro Histórico;0;2;0;190;350.0;13566.0;
Departamento;Lomas de Chapultepec;3;1;1;150;17500.0;3500.0;119.0
Departamento;Santa Fe;2;1;1;74;6650.0;4550.0;
Departamento;Condesa;2;1;1;156;42000.0;3500.0;875.0
Casa;Tepalcatlalpan;2;0;0;80;3325.0;;
Departamento;Narvarte;2;0;0;65;6650.0;2030.0;304.5
Departamento;Santa Fe;3;2;1;180;15750.0;5075.0;1715.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;35;1750.0;2765.0;339.5
Tienda/Salón;Santa Fe;0;1;0;55;15225.0;6055.0;2695.0
Departamento;Polanco;3;2;1;130;17500.0;4200.0;1155.0
Departamento;Coyoacán;3;2;1;150;24500.0;7700.0;1354.5
Conjunto Comercial/Sala;Santa Fe;0;4;0;170;17500.0;13713.0;3780.0
Departamento;Santa Fe;4;4;4;290;56000.0;17150.0;4900.0
Departamento;Coyoacán;2;1;1;142;29750.0;9100.0;1505.0
Departamento;Peralvillo;2;1;1;60;3500.0;1680.0;
Conjunto Comercial/Sala;Roma;0;34;0;1482;700245.0;194512.5;
Departamento;Condesa;4;1;2;210;55650.0;7700.0;
Departamento;Condesa;2;0;0;74;5600.0;3.5;3.5
Tienda/Salón;Santa Fe;0;1;0;80;14700.0;;5250.0
Conjunto Comercial/Sala;Historiadores;0;0;0;106;8750.0;3244.5;1116.5
Departamento;Roma;2;0;0;60;9100.0;1680.0;245.0
Departamento;San Ángel;3;2;1;112;18060.0;4375.0;1323.0
Departamento;Centro Histórico;1;0;0;38;3150.0;780.5;52.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;106;17500.0;7000.0;4046.0
Conjunto Comercial/Sala;Peralvillo;0;1;0;33;3850.0;2275.0;
Departamento;Santa Fe;3;2;1;145;14000.0;8575.0;1190.0
Departamento;Coyoacán;4;1;1;201;70000.0;14350.0;3500.0
Departamento;Peralvillo;2;2;1;110;6300.0;2100.0;462.0
Departamento;Coyoacán;2;0;0;80;19250.0;7000.0;1750.0
Departamento;San Pedro de los Pinos;2;1;1;96;12250.0;2450.0;525.0
Departamento;Santa Fe;1;2;0;68;6300.0;2975.0;724.5
Cocineta;Del Valle;1;0;0;26;2450.0;1575.0;
Departamento;Santa Fe;4;2;2;140;17150.0;4725.0;2905.0
Departamento;Santa Fe;2;2;1;104;10500.0;6562.5;1960.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;128;15750.0;5600.0;1967.0
Departamento;El Contadero;1;1;1;50;4550.0;875.0;
Departamento;Bosques de las Lomas;3;1;1;120;15050.0;2625.0;1330.0
Casa Comercial;Roma;4;0;0;161;29750.0;;1830.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;80;8750.0;4025.0;1225.0
Departamento;Juárez;1;0;0;31;4200.0;1295.0;
Cocineta;Condesa;1;0;0;40;14000.0;1610.0;805.0
Tienda/Salón;Narvarte;0;0;0;1817;56000.0;;14700.0
Departamento en Hotel;Coyoacán;2;1;1;82;13650.0;8050.0;1050.0
Departamento;Condesa;3;0;2;145;14000.0;3325.0;
Conjunto Comercial/Sala;Santa Fe;0;19;0;594;208250.0;45160.5;
Casa de Condominio;Santa Fe;5;4;5;600;87500.0;;
Cocineta;Condesa;1;0;0;35;8750.0;1925.0;
Departamento;Lomas de Chapultepec;3;2;1;195;22400.0;6545.0;1610.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;547;157500.0;46511.5;9961.0
Departamento en Hotel;Lomas de Chapultepec;2;1;1;80;21000.0;7700.0;595.0
Departamento;Coyoacán;1;0;0;50;13300.0;1575.0;105.0
Departamento;Coyoacán;4;2;4;520;77000.0;12705.0;3850.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;354;87500.0;25025.0;8697.5
Departamento;Lomas de Chapultepec;3;1;2;107;22750.0;4340.0;1487.5
Conjunto Comercial/Sala;Santa Fe;0;1;0;35;5600.0;1715.0;560.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;33;6300.0;5600.0;
Departamento en Hotel;Coyoacán;2;1;1;110;35000.0;17500.0;1750.0
Departamento;Coyoacán;3;1;2;174;29750.0;8400.0;21000.0
Departamento;Roma;2;1;1;85;9450.0;4056.5;644.0
Departamento;Lomas de Chapultepec;2;2;1;94;23450.0;4200.0;1120.0
Departamento;San Rafael;2;2;1;103;5600.0;2100.0;378.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;27;2800.0;2656.5;434.0
Conjunto Comercial/Sala;Narvarte;0;0;0;38;3850.0;1785.0;
Conjunto Comercial/Sala;Santa Fe;0;0;0;135;20650.0;6125.0;4550.0
Departamento;Santa Fe;4;3;3;160;29750.0;8050.0;1207.5
Conjunto Comercial/Sala;Narvarte;0;1;0;34;2450.0;1820.0;245.0
Departamento;Roma;1;0;0;42;7700.0;1400.0;203.0
Departamento;Santa Fe;1;1;0;52;12250.0;9502.5;
Departamento;San Rafael;3;0;1;97;5775.0;920.5;350.0
Departamento;Nueva Santa María;1;1;1;51;2975.0;1781.5;59.5
Tienda/Salón;Narvarte;0;0;0;38;3500.0;770.0;780.5
Tienda/Salón;Santa Fe;0;1;0;88;26600.0;9079.0;4917.5
Departamento;Peralvillo;2;1;0;77;4900.0;2096.5;133.0
Casa;Nativitas;3;1;0;102;7350.0;;4200.0
Departamento;Coyoacán;2;1;1;130;16800.0;4550.0;1361.5
Departamento;Lomas de Chapultepec;4;3;4;256;56000.0;12250.0;2100.0
Departamento;Condesa;3;0;1;140;27300.0;4550.0;693.0
Conjunto Comercial/Sala;Villa de Guadalupe;0;1;0;32;1750.0;2450.0;192.5
Casa;San Ángel;4;2;3;250;56000.0;;1400.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;70;13300.0;6300.0;304.5
Departamento;Narvarte;3;1;1;140;6300.0;4014.5;
Departamento;Residencial Emiliano Zapata;2;1;0;75;3500.0;;
Departamento;Santa Fe;3;1;0;80;5950.0;3608.5;7682.5
Tienda/Salón;Lomas de Chapultepec;0;0;0;40;17500.0;7700.0;
Departamento;Santa Fe;2;2;1;113;10500.0;6720.0;2135.0
Departamento;Coyoacán;2;2;2;240;59500.0;8750.0;2800.0
Conjunto Comercial/Sala;Santa Fe;0;0;0;20;2100.0;1330.0;525.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;525;91938.0;50932.0;
Casa Comercial;Roma;0;0;0;270;24500.0;;2800.0
Departamento;Narvarte;3;1;0;140;8050.0;2380.0;399.0
Departamento;Condesa;2;0;0;70;8400.0;2233.0;521.5
Rancho;Santa María Nonoalco;3;0;0;0;17150.0;;
Departamento;Nativitas;3;1;0;68;6300.0;2152.5;
Conjunto Comercial/Sala;Santa Fe;0;3;0;175;42000.0;11375.0;11375.0
Casa de Condominio;Santa Fe;5;2;5;700;87500.0;;6300.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;22;2450.0;2331.0;371.0
Departamento en Hotel;Coyoacán;2;1;1;90;31500.0;8750.0;
Conjunto Comercial/Sala;Condesa;0;5;0;600;252000.0;63000.0;18900.0
Casa;Tepalcatlalpan;1;0;0;40;2800.0;;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;145;14000.0;13405.0;2803.5
Conjunto Comercial/Sala;Santa Fe;0;1;0;24;3150.0;1123.5;336.0
Departamento;Coyoacán;4;2;1;350;59150.0;17500.0;2800.0
Departamento;Del Valle;3;1;0;140;11900.0;4025.0;661.5
Galpón/Depósito/Almacén;Santa Marta Acatitla;0;8;0;2035;154000.0;45997.0;3906.0
Departamento;Coyoacán;2;1;1;100;26250.0;16100.0;1701.0
Departamento;Bosques de las Lomas;3;2;1;120;28000.0;5810.0;1340.5
Tienda/Salón;Nueva Santa María;0;0;0;120;3500.0;;854.0
Departamento;Santa Fe;2;1;1;95;7700.0;4669.0;899.5
Departamento;Condesa;3;0;1;100;10500.0;3325.0;8995.0
Departamento;Santa Fe;4;3;2;361;28000.0;10738.0;
Tienda en Centro Comercial;Centro Histórico;0;0;0;32;26250.0;;483.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;25;3150.0;2170.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;285;87500.0;29998.5;5593.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;31;3500.0;3209.5;437.5
Conjunto Comercial/Sala;Condesa;0;0;0;28;3500.0;2310.0;
Departamento;Napoles;2;0;0;75;;3073.0;
Departamento;Santa Fe;2;1;1;80;8750.0;4284.0;742.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;4;1575.0;;
Departamento;Del Valle;2;1;0;80;7000.0;1575.0;
Edificio Completo;Narvarte;0;2;0;200;35000.0;;7350.0
Tienda en Centro Comercial;Narvarte;0;0;0;50;14000.0;5775.0;682.5
Departamento;Santa Fe;3;2;1;105;8050.0;5250.0;
Departamento;Roma;2;0;1;85;11200.0;2450.0;700.0
Departamento;Narvarte;3;1;0;80;6650.0;2450.0;210.0
Tienda/Salón;Centro Histórico;0;0;0;230;76475.0;20125.0;
Tienda/Salón;Santa Fe;0;1;0;70;13405.0;6744.5;3461.5
Departamento;Santa Fe;2;1;1;73;9450.0;4147.5;724.5
Departamento;Coyoacán;3;1;1;160;70000.0;8400.0;2313.5
Departamento;Condesa;3;1;0;81;8750.0;3500.0;6076.0
Departamento;Santa Fe;3;3;1;250;12250.0;9100.0;686.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;35;2800.0;4550.0;875.0
Departamento;Santa Fe;4;3;4;230;31500.0;9625.0;2100.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;35;1400.0;2030.0;465.5
Casa de Condominio;Santa Fe;4;5;4;1000;98031.5;5600.0;52500.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;554;145372.5;30373.0;6258.0
Conjunto Comercial/Sala;Chapultepec;0;1;0;27;3150.0;1925.0;2933.0
Departamento;Coyoacán;2;1;0;75;11550.0;3500.0;682.5
Departamento;Santa Fe;2;1;1;58;4025.0;2450.0;318.5
Departamento;Del Valle;3;1;1;150;9450.0;5495.0;630.0
Conjunto Comercial/Sala;Centro Histórico;0;1;0;588;185426.5;57078.0;7532.0
Departamento;Santa Fe;3;2;3;105;11550.0;5250.0;945.0
Departamento;Santa Fe;3;2;1;147;12250.0;7871.5;1956.5
Departamento;Condesa;2;0;0;70;7700.0;2695.0;437.5
Departamento;Santa Fe;2;1;1;60;7350.0;2565.5;346.5
Departamento;Narvarte;1;0;0;63;4550.0;2537.5;175.0
Departamento;Condesa;1;0;0;28;5425.0;1673.0;84.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;1192;266000.0;105000.0;
Departamento;Condesa;3;1;1;200;26250.0;5600.0;896.0
Cocineta;Centro Histórico;0;0;0;30;3150.0;1400.0;
Departamento;Polanco;3;2;2;220;17150.0;6685.0;2194.5
Conjunto Comercial/Sala;Santa Fe;0;1;0;40;3500.0;2530.5;931.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;32;4200.0;4725.0;787.5
Departamento;Condesa;3;0;1;123;26250.0;4550.0;693.0
Departamento;Santa Fe;2;1;1;68;7700.0;2730.0;350.0
Departamento;Peralvillo;3;1;1;70;4550.0;2450.0;297.5
Departamento;Nueva Santa María;3;0;0;75;4550.0;;
Tienda/Salón;Santa Fe;0;1;0;150;20650.0;3850.0;700.0
Departamento;Villa de Guadalupe;2;1;0;59;4200.0;1785.0;45.5
Departamento;Santa Fe;4;3;1;240;52500.0;17500.0;
Departamento en Hotel;Coyoacán;2;1;1;76;28000.0;9450.0;2625.0
Departamento;Peralvillo;3;0;0;78;5250.0;2541.0;280.0
Conjunto Comercial/Sala;Santa Fe;0;9;0;370;35000.0;38500.0;
Departamento;Condesa;2;0;1;83;10500.0;4231.5;714.0
Conjunto Comercial/Sala;Centro Histórico;0;1;0;459;144767.0;44562.0;5880.0
Departamento;Coyoacán;3;1;1;128;20300.0;4924.5;3979.5
Casa de Condominio;Santa Fe;4;3;3;280;27300.0;5232.5;
Cocineta;Centro Histórico;1;0;0;28;3150.0;1225.0;70.0
Casa Comercial;Roma;6;0;0;322;42000.0;;882.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;36;3500.0;2625.0;
Conjunto Comercial/Sala;Santa Fe;0;1;0;38;5950.0;3605.0;1396.5
Departamento;Coyoacán;4;3;3;433;91000.0;33250.0;7581.0
Departamento;Condesa;3;1;1;90;9800.0;4200.0;525.0
Departamento;Santa Fe;2;2;1;66;5950.0;4641.0;
Departamento;Lomas de Chapultepec;2;0;0;59;6650.0;1827.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;450;63000.0;17944.5;5600.0
Conjunto Comercial/Sala;Iztacalco;0;0;0;20;3150.0;1400.0;126.0
Departamento;Condesa;1;0;0;40;5250.0;1785.0;189.0
Departamento;Santa Fe;3;0;1;235;42000.0;16061.5;54271.0
Departamento;Santa Fe;3;1;2;66;4550.0;2415.0;273.0
Tienda/Salón;Santa Fe;0;1;0;390;94500.0;24556.0;1781.5
Departamento;Condesa;2;0;0;90;8400.0;3080.0;392.0
Cocineta;Condesa;1;0;0;40;3850.0;1575.0;175.0
Departamento;Coyoacán;4;1;2;260;52500.0;16100.0;6027.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;680;49000.0;29410.5;11900.0
Departamento;Coyoacán;4;1;4;200;70000.0;8400.0;2275.0
Departamento;El Contadero;3;2;1;125;9380.0;1750.0;1207.5
Departamento;Roma;1;1;0;66;7700.0;2450.0;
Departamento;Nativitas;2;0;0;48;2100.0;700.0;
Departamento;Santa Fe;1;1;0;66;6300.0;3955.0;1179.5
Departamento;Santa Fe;3;2;1;115;17500.0;4200.0;2240.0
Departamento;Santa Fe;4;2;1;145;12250.0;7637.0;1806.0
Departamento;Coyoacán;3;1;2;165;29750.0;6720.0;1190.0
Departamento;Lomas de Chapultepec;3;1;1;178;42000.0;5351.5;1862.0
Departamento;Santa Fe;3;2;1;150;11900.0;8225.0;1473.5
Departamento;Roma;3;1;1;108;12250.0;3500.0;455.0
Departamento;Narvarte;3;1;0;107;8050.0;1400.0;
Conjunto Comercial/Sala;Industrial Vallejo;0;2;0;56;10500.0;4900.0;
Conjunto Comercial/Sala;Santa Fe;0;1;0;36;4550.0;4550.0;994.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;33;2100.0;1165.5;294.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;347;103320.0;23530.5;4543.0
Departamento;Santa Fe;2;1;2;82;7700.0;4200.0;
Departamento;Santa Fe;4;3;3;250;45500.0;11900.0;3850.0
Departamento;Narvarte;2;0;0;76;6300.0;2450.0;84.0
Departamento;Condesa;2;0;0;90;10500.0;3500.0;1400.0
Galpón/Depósito/Almacén;Nativitas;0;0;0;9220;255500.0;;29221.5
Departamento;Arboledas;3;1;0;75;3500.0;2275.0;
Tienda/Salón;Santa Fe;0;0;0;320;70000.0;13125.0;14140.0
Departamento;Santa Fe;4;3;2;230;33250.0;13937.0;1634.5
Departamento;Lomas de Chapultepec;3;1;1;96;19250.0;5250.0;875.0
Departamento;Condesa;1;0;0;55;10500.0;2520.0;280.0
Departamento;Coyoacán;3;1;2;250;35000.0;7000.0;2975.0
Cocineta;Condesa;0;0;0;28;4550.0;2110.5;185.5
Conjunto Comercial/Sala;Santa Fe;0;1;0;32;5250.0;3325.0;595.0
Departamento;Condesa;2;0;1;120;13650.0;1750.0;350.0
Departamento;Lomas de Chapultepec;3;1;1;150;19250.0;3150.0;
Departamento;Condesa;3;1;1;130;20300.0;2555.0;980.0
Departamento;Santa Fe;3;2;2;83;8400.0;2124.5;4900.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;0;0;120;70000.0;8400.0;2429.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;36;4900.0;1050.0;364.0
Departamento;Condesa;3;0;1;140;17500.0;6475.0;630.0
Departamento;Lomas de Chapultepec;2;1;0;77;13650.0;4200.0;647.5
Casa de Vecindad;San Felipe de Jesús;2;0;0;68;4200.0;227.5;472.5
Departamento;Santa Fe;3;1;3;83;12600.0;3850.0;490.0
Departamento;Condesa;1;0;0;50;7000.0;3328.5;199.5
Departamento;Coyoacán;3;1;2;115;21000.0;2485.0;
Departamento;San Pedro de los Pinos;3;2;2;200;31500.0;4200.0;1330.0
Conjunto Comercial/Sala;Santa Fe;1;1;0;34;5950.0;4147.5;910.0
Casa de Condominio;Lomas de Chapultepec;5;0;5;850;105000.0;5250.0;9100.0
Departamento;San Jerónimo;2;1;0;87;8750.0;2789.5;
Conjunto Comercial/Sala;Santa Fe;0;1;0;30;1750.0;3150.0;420.0
Conjunto Comercial/Sala;Lomas de Chapultepec;0;10;0;580;385000.0;104527.5;
Conjunto Comercial/Sala;Santa Fe;0;0;0;21;1750.0;1715.0;301.0
Tienda/Salón;Santa Fe;0;1;0;84;18550.0;5474.0;14808.5
Departamento;Narvarte;1;1;0;55;5600.0;2285.5;143.5
Departamento;Narvarte;3;1;1;87;8050.0;1956.5;350.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;36;1750.0;4200.0;
Conjunto Comercial/Sala;Santa Fe;0;2;0;144;15750.0;16275.0;
Departamento;Condesa;2;2;2;76;15750.0;7175.0;1078.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;42;3850.0;3881.5;
Conjunto Comercial/Sala;Condesa;0;0;0;32;3850.0;1750.0;707.0
Departamento;Coyoacán;2;0;0;66;9100.0;2905.0;682.5
Departamento;Doctores;2;1;0;56;5600.0;1379.0;56.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;30;2800.0;1295.0;444.5
Departamento;Santa Fe;4;2;1;115;9800.0;6615.0;875.0
Conjunto Comercial/Sala;Condesa;0;0;0;39;3500.0;2684.5;
Departamento;Narvarte;4;1;0;160;7000.0;3612.0;3696.0
Conjunto Comercial/Sala;Centro Histórico;0;1;0;544;171496.5;52790.5;6965.0
Departamento;Condesa;1;0;0;45;2590.0;630.0;87.5
Departamento;Santa Fe;2;1;1;65;5250.0;3500.0;
Tienda/Salón;Centro Histórico;0;0;0;7;10500.0;948.5;
Departamento;Santa Fe;1;1;0;69;8750.0;4900.0;1050.0
Edificio Completo;La Merced;0;89;0;2397;539665.0;;15445.5
Departamento;Roma;3;1;2;110;17500.0;5425.0;1393.0
Departamento;Coyoacán;4;3;2;230;31500.0;10500.0;3850.0
Departamento;Narvarte;1;0;0;60;6300.0;1645.0;
Casa de Condominio;Santa Fe;5;0;3;270;70000.0;4025.0;2275.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;597;52500.0;;
Departamento;Santa Fe;2;1;1;70;7700.0;2730.0;
Departamento;Bosques de las Lomas;3;1;1;150;21000.0;3325.0;1365.0
Departamento;Santa Fe;1;2;1;100;24500.0;6965.0;8050.0
Casa;San Andrés Tetepilco;1;0;0;65;2800.0;;
Departamento;Lomas de Chapultepec;2;1;1;80;12600.0;4375.0;822.5
Conjunto Comercial/Sala;Centro Histórico;1;0;0;76;4550.0;2625.0;
Departamento;Bosques de las Lomas;2;1;1;100;13300.0;3325.0;
Departamento;Condesa;1;0;0;50;8750.0;3.5;3.5
Departamento;Lomas de Chapultepec;4;2;1;170;38500.0;9450.0;1995.0
Departamento;Coyoacán;2;1;0;85;10500.0;2660.0;280.0
Departamento;Nativitas;2;1;1;61;4900.0;2593.5;
Departamento;Santa Fe;2;2;1;65;6300.0;2075.5;189.0
Departamento;Santa Fe;3;2;3;145;10150.0;6300.0;
Cocineta;Condesa;1;0;0;23;4900.0;1050.0;
Conjunto Comercial/Sala;Roma;0;0;0;20;4193.0;;
Departamento;Bosques de las Lomas;4;3;2;388;42000.0;21161.0;4336.5
Conjunto Comercial/Sala;Santa Fe;0;0;0;605;157500.0;64956.5;179116.0
Tienda/Salón;Santa Fe;0;0;0;32;3500.0;6023.5;2457.0
Departamento;San Jerónimo;3;4;1;200;17500.0;4928.0;861.0
Departamento;Santa Fe;4;3;3;266;52500.0;12950.0;2422.0
Casa de Condominio;Santa Fe;4;4;4;806;84000.0;7283.5;8050.0
Conjunto Comercial/Sala;Santa Fe;0;4;0;126;19250.0;8820.0;
Departamento;San Jerónimo;3;1;1;115;13825.0;;
Departamento en Hotel;Santa Fe;2;1;2;65;7700.0;9450.0;507.5
Departamento;Bosques de las Lomas;3;1;0;153;21700.0;6650.0;
Departamento;Del Valle;3;1;0;100;10850.0;3153.5;644.0
Departamento;Condesa;4;1;1;230;17500.0;6373.5;1750.0
Departamento;Condesa;1;0;0;45;5600.0;1715.0;255.5
Departamento;Condesa;1;0;0;35;4900.0;2117.5;185.5
Cocineta;Condesa;1;0;0;20;2450.0;1060.5;49.0
Departamento;San Ángel;3;2;1;130;22050.0;5600.0;1155.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;27;3850.0;3062.5;675.5
Cocineta;Centro Histórico;1;0;0;20;3815.0;1050.0;52.5
Tienda/Salón;Santa Fe;0;0;0;647;158515.0;56612.5;20380.5
Departamento;Santa Fe;5;4;5;352;45500.0;11200.0;
Departamento;Napoles;1;0;0;65;10500.0;2065.0;315.0
Departamento;Condesa;1;0;0;20;10500.0;;
Conjunto Comercial/Sala;Santa Fe;0;1;0;31;3500.0;2870.0;154.0
Departamento;Santa Fe;1;1;1;71;8750.0;6146.0;672.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;460;122500.0;26509.0;67245.5
Conjunto Comercial/Sala;Moctezuma;0;1;0;25;3150.0;2257.5;7.0
Departamento;Roma Norte;2;1;1;48;5600.0;1834.0;42.0
Departamento;Condesa;2;0;0;74;7000.0;3150.0;462.0
Departamento;Lomas de Chapultepec;2;1;0;70;13300.0;2450.0;350.0
Departamento;Lomas de Chapultepec;2;1;0;96;15750.0;2625.0;
Departamento;Culhuacán CTM;2;0;0;50;2975.0;490.0;
Departamento;San Ángel;3;0;1;120;9450.0;3080.0;833.0
Departamento;Condesa;4;1;0;100;11200.0;3577.0;
Departamento;Roma;2;1;0;65;10325.0;2100.0;357.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;60;6300.0;3780.0;490.0
Departamento;San Ángel;1;0;0;50;9450.0;1785.0;301.0
Conjunto Comercial/Sala;Coyoacán;0;0;0;34;8400.0;3003.0;759.5
Cocineta;Centro Histórico;0;0;0;25;2275.0;1522.5;
Departamento en Hotel;Roma;2;1;1;90;8750.0;6160.0;651.0
Departamento;Narvarte;2;1;1;92;10150.0;3174.5;
Departamento;Santa Fe;3;3;3;266;52500.0;12950.0;2422.0
Tienda/Salón;Santa Fe;0;2;0;154;37800.0;10419.5;2604.0
Departamento;Condesa;2;0;0;80;8400.0;3482.5;630.0
Conjunto Comercial/Sala;Condesa;0;1;0;60;10500.0;3850.0;875.0
Departamento;Narvarte;3;2;1;135;7000.0;3220.0;8400.0
Conjunto Comercial/Sala;Condesa;0;1;0;120;15750.0;7700.0;1848.0
Conjunto Comercial/Sala;Santa Fe;0;2;0;20;11200.0;25613.0;665.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;51;3500.0;6310.5;1232.0
Departamento;Peralvillo;3;2;1;113;4550.0;2940.0;
Galpón/Depósito/Almacén;Villa de Guadalupe;0;0;0;893;118769.0;18690.0;10874.5
Departamento;Del Valle;3;1;1;105;13300.0;4200.0;
Departamento;Coyoacán;2;1;1;82;52500.0;14000.0;20713.0
Departamento;Villa de Cortés;2;0;0;117;4550.0;;385.0
Tienda/Salón;Roma;0;0;0;585;210000.0;1400.0;175000.0
Tienda en Centro Comercial;Santa Fe;0;1;0;82;12250.0;7973.0;2373.0
Tienda/Salón;Santa Fe;0;0;0;27;5495.0;2842.0;2159.5
Conjunto Comercial/Sala;Santa Fe;0;4;0;113;1505.0;9824.5;1505.0
Casa de Condominio;Santa Fe;5;3;0;900;70000.0;4578.0;5603.5
Departamento;Condesa;4;1;3;220;56000.0;5950.0;1925.0
Departamento;Lomas de Chapultepec;2;1;1;98;15750.0;5729.5;
Departamento;La Florida;1;1;1;64;3150.0;1645.0;52.5
Departamento;Lomas de Chapultepec;2;1;1;80;28000.0;7976.5;
Departamento;Coyoacán;1;0;0;54;7350.0;2733.5;
Departamento;Santa Fe;3;2;1;133;12250.0;8022.0;2415.0
Departamento;Peralvillo;2;1;0;50;2100.0;1155.0;49.0
Departamento;Santa Fe;4;4;4;601;24500.0;20300.0;4207.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;49;8400.0;3675.0;
Edificio Completo;Centro Histórico;1;92;0;6550;1505000.0;;181947.5
Conjunto Comercial/Sala;Narvarte;0;1;0;29;5075.0;1925.0;290.5
Departamento;Santa Marta Acatitla;2;0;0;40;2100.0;;
Departamento;Roma;3;2;1;86;12950.0;2852.5;486.5
Conjunto Comercial/Sala;Santa Fe;0;7;0;200;52500.0;14700.0;3290.0
Departamento;Bosques de las Lomas;3;3;1;252;31500.0;6650.0;2100.0
Departamento;Narvarte;2;1;0;66;8050.0;437.5;1858.5
Conjunto Comercial/Sala;Del Valle;0;6;0;942;280245.0;65940.0;
Departamento;Coyoacán;4;3;1;236;45500.0;10500.0;3290.0
Conjunto Comercial/Sala;Santa Fe;0;5;0;370;97125.0;23208.5;7700.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;200;35000.0;8750.0;3150.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;539;262223.5;50935.5;
Departamento;San Miguel Chapultepec;2;1;0;70;5600.0;2625.0;210.0
Departamento;Santa Fe;3;2;2;212;19250.0;4200.0;2387.0
Cochera/Estacionamiento;Centro Histórico;0;0;0;9;350.0;1561.0;
Departamento;Coyoacán;3;1;0;80;12250.0;3500.0;714.0
Conjunto Comercial/Sala;Centro Histórico;0;0;0;1516;212240.0;78582.0;
Departamento;Lomas de Chapultepec;4;2;4;300;56000.0;14700.0;6174.0
Galpón/Depósito/Almacén;Vallejo;0;0;0;4000;136500.0;;14000.0
Conjunto Comercial/Sala;Santa Fe;0;2;0;70;10500.0;6608.0;
Departamento;Condesa;1;0;0;55;8750.0;;
Conjunto Comercial/Sala;Condesa;0;1;0;40;8750.0;3269.0;448.0
Departamento en Hotel;Condesa;2;1;1;60;10500.0;5600.0;658.0
Tienda/Salón;Condesa;0;0;0;25;4546.5;2380.0;350.0
Departamento;Lomas de Chapultepec;3;1;1;150;17500.0;3500.0;1575.0
Departamento;Roma;2;1;1;84;17500.0;3874.5;735.0
Casa;Casa Blanca;2;0;0;65;2800.0;;
Departamento;Santa Fe;4;3;2;244;24500.0;10885.0;24150.0
Departamento;Lomas de Chapultepec;4;1;4;200;35000.0;5600.0;4193.0
Departamento;Peralvillo;3;1;1;108;4725.0;3150.0;399.0
Departamento;La Condesa;1;0;1;48;3850.0;1750.0;
Conjunto Comercial/Sala;Centro Histórico;0;0;0;30;1225.0;1225.0;325.5
Departamento;Santa Fe;3;2;1;98;9800.0;5320.0;385.0
Conjunto Comercial/Sala;Santa Fe;0;1;0;34;6300.0;4550.0;
Departamento;Bosques de las Lomas;3;1;0;116;12250.0;4039.0;1011.5
Departamento;Narvarte;2;0;0;70;5600.0;2975.0;294.0
Conjunto Comercial/Sala;Centro Histórico;0;36;0;1897;531160.0;169771.0;28780.5
Conjunto Comercial/Sala;Centro Histórico;0;0;0;104;7805.0;14031.5;602.0
Casa;Barrio Bravo;2;2;0;120;5530.0;;
Departamento;San Rafael;1;2;0;67;5250.0;1827.0;364.0
Tienda en Centro Comercial;Santa Fe;0;1;0;30;2800.0;3325.0;525.0
Departamento;Lomas de Chapultepec;2;1;1;70;19250.0;7000.0;1400.0
Departamento;San Pedro de los Pinos;1;1;0;60;11200.0;2149.0;875.0
